scenario,activity_pair,vehicle_trips,share
synthetic,14 -> 8,84.0,0.00038531332403086597
synthetic,3 -> 6,84.0,0.00038531332403086597
synthetic,6 -> 16,81.99999996,0.00037613919708474376
synthetic,16 -> 11,79.99999992,0.00036696507013862155
synthetic,10 -> 11,78.0,0.000357790943742947
synthetic,15 -> 5,78.0,0.000357790943742947
synthetic,5 -> 14,75.99999996,0.0003486168167968248
synthetic,4 -> 11,75.0,0.0003440297535989875
synthetic,14 -> 6,73.99999992,0.00033944268985070257
synthetic,13 -> 11,72.0,0.00033026856345502796
synthetic,15 -> 7,69.99999996,0.00032109443650890575
synthetic,8 -> 8,69.0,0.00031650737331106847
synthetic,18 -> 13,66.0,0.000302746183167109
synthetic,3 -> 11,66.0,0.000302746183167109
synthetic,3 -> 3,66.0,0.000302746183167109
synthetic,6 -> 11,66.0,0.000302746183167109
synthetic,7 -> 12,66.0,0.000302746183167109
synthetic,10 -> 13,63.99999996,0.00029357205622098677
synthetic,7 -> 14,63.99999996,0.00029357205622098677
synthetic,13 -> 10,60.0,0.00027522380287919
synthetic,5 -> 12,60.0,0.00027522380287919
synthetic,7 -> 3,60.0,0.00027522380287919
synthetic,8 -> 6,60.0,0.00027522380287919
synthetic,16 -> 3,57.99999996,0.0002660496759330678
synthetic,7 -> 11,54.99999996,0.00025228848578910825
synthetic,10 -> 18,54.0,0.00024770142259127097
synthetic,10 -> 3,54.0,0.00024770142259127097
synthetic,18 -> 12,54.0,0.00024770142259127097
synthetic,9 -> 11,54.0,0.00024770142259127097
synthetic,6 -> 3,51.99999996,0.00023852729564514876
synthetic,11 -> 9,48.0,0.000220179042303352
synthetic,13 -> 9,48.0,0.000220179042303352
synthetic,3 -> 2,48.0,0.000220179042303352
synthetic,7 -> 15,48.0,0.000220179042303352
synthetic,3 -> 7,45.99999996,0.00021100491535722978
synthetic,10 -> 12,42.0,0.00019265666201543299
synthetic,11 -> 13,42.0,0.00019265666201543299
synthetic,12 -> 8,42.0,0.00019265666201543299
synthetic,3 -> 18,42.0,0.00019265666201543299
synthetic,3 -> 8,42.0,0.00019265666201543299
synthetic,6 -> 7,42.0,0.00019265666201543299
synthetic,7 -> 6,42.0,0.00019265666201543299
synthetic,1 -> 17,39.99999996,0.00018348253506931077
synthetic,10 -> 14,39.99999996,0.00018348253506931077
synthetic,10 -> 9,36.0,0.00016513428172751398
synthetic,12 -> 2,36.0,0.00016513428172751398
synthetic,15 -> 6,36.0,0.00016513428172751398
synthetic,4 -> 13,36.0,0.00016513428172751398
synthetic,6 -> 8,36.0,0.00016513428172751398
synthetic,8 -> 13,36.0,0.00016513428172751398
synthetic,9 -> 18,36.0,0.00016513428172751398
synthetic,12 -> 16,34.99999992,0.0001605472179792291
synthetic,6 -> 13,33.99999996,0.00015596015478139177
synthetic,14 -> 11,30.0,0.000137611901439595
synthetic,18 -> 11,30.0,0.000137611901439595
synthetic,6 -> 12,30.0,0.000137611901439595
synthetic,12 -> 12,27.0,0.00012385071129563548
synthetic,12 -> 18,24.0,0.000110089521151676
synthetic,12 -> 6,24.0,0.000110089521151676
synthetic,13 -> 12,24.0,0.000110089521151676
synthetic,13 -> 18,24.0,0.000110089521151676
synthetic,14 -> 2,24.0,0.000110089521151676
synthetic,2 -> 15,24.0,0.000110089521151676
synthetic,3 -> 13,24.0,0.000110089521151676
synthetic,4 -> 3,24.0,0.000110089521151676
synthetic,5 -> 4,24.0,0.000110089521151676
synthetic,7 -> 18,24.0,0.000110089521151676
synthetic,8 -> 4,24.0,0.000110089521151676
synthetic,8 -> 9,24.0,0.000110089521151676
synthetic,9 -> 13,24.0,0.000110089521151676
synthetic,6 -> 14,21.99999996,0.0001009153942055538
synthetic,12 -> 10,18.0,8.256714086375699e-05
synthetic,13 -> 3,18.0,8.256714086375699e-05
synthetic,14 -> 14,18.0,8.256714086375699e-05
synthetic,15 -> 8,18.0,8.256714086375699e-05
synthetic,18 -> 15,18.0,8.256714086375699e-05
synthetic,18 -> 3,18.0,8.256714086375699e-05
synthetic,4 -> 15,18.0,8.256714086375699e-05
synthetic,4 -> 9,18.0,8.256714086375699e-05
synthetic,8 -> 14,14.4,6.60537126910056e-05
synthetic,11 -> 12,12.0,5.5044760575838e-05
synthetic,11 -> 3,12.0,5.5044760575838e-05
synthetic,11 -> 4,12.0,5.5044760575838e-05
synthetic,12 -> 14,12.0,5.5044760575838e-05
synthetic,12 -> 9,12.0,5.5044760575838e-05
synthetic,13 -> 14,12.0,5.5044760575838e-05
synthetic,13 -> 4,12.0,5.5044760575838e-05
synthetic,14 -> 13,12.0,5.5044760575838e-05
synthetic,15 -> 2,12.0,5.5044760575838e-05
synthetic,17 -> 12,12.0,5.5044760575838e-05
synthetic,17 -> 13,12.0,5.5044760575838e-05
synthetic,17 -> 9,12.0,5.5044760575838e-05
synthetic,18 -> 14,12.0,5.5044760575838e-05
synthetic,18 -> 4,12.0,5.5044760575838e-05
