scenario,activity_pair,vehicle_trips,share
synthetic,16 -> 10,199.99999992,0.0010529623514528936
synthetic,4 -> 4,198.0,0.0010424327283553379
synthetic,12 -> 5,189.99999996,0.0010003142340697822
synthetic,10 -> 7,174.0,0.0009160772461304484
synthetic,9 -> 2,174.0,0.0009160772461304484
synthetic,18 -> 18,168.0,0.000884488375574226
synthetic,16 -> 9,164.99999988,0.0008686939396643374
synthetic,2 -> 3,162.0,0.0008528995050180037
synthetic,4 -> 5,162.0,0.0008528995050180037
synthetic,3 -> 3,159.99999996,0.0008423698812886704
synthetic,4 -> 6,156.99999996,0.0008265754460105592
synthetic,16 -> 11,153.39999996,0.0008076221236768259
synthetic,16 -> 13,150.0,0.000789721763905559
synthetic,2 -> 12,144.0,0.0007581328933493366
synthetic,9 -> 9,141.99999996,0.0007476032696200033
synthetic,9 -> 16,138.99999996,0.0007318088343418921
synthetic,4 -> 7,138.0,0.0007265440227931143
synthetic,6 -> 6,133.99999992,0.0007054847753344477
synthetic,13 -> 2,132.0,0.0006949551522368919
synthetic,11 -> 11,127.99999992,0.0006738959047782253
synthetic,2 -> 4,126.0,0.0006633662816806695
synthetic,16 -> 4,124.9999998,0.0006581014688683368
synthetic,11 -> 2,123.99999996,0.0006528366579513363
synthetic,6 -> 16,123.99999996,0.0006528366579513363
synthetic,16 -> 18,119.39999988,0.0006286185234370475
synthetic,9 -> 7,117.99999996,0.0006212477873951139
synthetic,11 -> 16,114.0,0.0006001885405682248
synthetic,18 -> 10,114.0,0.0006001885405682248
synthetic,9 -> 10,114.0,0.0006001885405682248
synthetic,14 -> 5,108.99999996,0.0005738644815607804
synthetic,13 -> 16,105.0,0.0005528052347338913
synthetic,4 -> 16,103.99999992,0.0005475404225533359
synthetic,18 -> 16,102.99999984,0.0005422756103727806
synthetic,3 -> 16,102.0,0.0005370107994557801
synthetic,7 -> 13,102.0,0.0005370107994557801
synthetic,11 -> 7,99.99999996,0.0005264811757264468
synthetic,8 -> 16,99.99999996,0.0005264811757264468
synthetic,10 -> 8,96.0,0.0005054219288995578
synthetic,7 -> 9,96.0,0.0005054219288995578
synthetic,8 -> 8,96.0,0.0005054219288995578
synthetic,7 -> 10,93.0,0.0004896274936214465
synthetic,18 -> 9,90.0,0.00047383305834333537
synthetic,5 -> 12,90.0,0.00047383305834333537
synthetic,7 -> 11,87.99999996,0.0004633034346140021
synthetic,14 -> 16,84.99999996,0.00044750899933589095
synthetic,12 -> 2,84.0,0.000442244187787113
synthetic,4 -> 2,84.0,0.000442244187787113
synthetic,8 -> 10,84.0,0.000442244187787113
synthetic,13 -> 7,78.99999996,0.0004159201287796686
synthetic,5 -> 13,78.99999996,0.0004159201287796686
synthetic,13 -> 6,78.0,0.00041065531723089065
synthetic,2 -> 14,75.99999996,0.0004001256935015574
synthetic,10 -> 6,72.0,0.0003790664466746683
synthetic,12 -> 8,72.0,0.0003790664466746683
synthetic,16 -> 12,71.71428564,0.00037756221435231933
synthetic,13 -> 8,69.99999996,0.000368536822945335
synthetic,18 -> 3,69.0,0.00036327201139655713
synthetic,18 -> 8,67.99999992,0.00035800719921600174
synthetic,16 -> 8,66.99999996,0.00035274238766722386
synthetic,18 -> 14,66.99999996,0.00035274238766722386
synthetic,18 -> 6,66.0,0.0003474775761184459
synthetic,8 -> 18,66.0,0.0003474775761184459
